,RunNumber,EnergyMagnetCurrent,TheoreticalBeamEnergy,NumberofEvents,ActualBeamEnergy,ConfigFile,Threshold,MaterialType,MaterialThickness,MaterialThicknessError,RawFileSize,Collimator,GearFile,DUTPosition,Date
,8903,37,1,,,config_coinc_08042013,6,Wafer 904 6DA00 021 POLY R 882-11 30T Top LEFT,N/A,N/A,537,Unknown,gear_x0_08042013,5.1,8/4/2013
,8904,150,4,,,config_coinc_08042013,6,Wafer 904 6DA00 021 POLY R 882-11 30T Top LEFT,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8905,150,4,,,config_coinc_08042013,6,Wafer 904 6DA00 021 POLY R 882-11 30T Top LEFT,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8906,150,4,,,config_coinc_08042013,6,Wafer 904 6DA00 021 POLY R 882-11 30T Top LEFT,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8907,150,4,,,config_coinc_08042013,6,Wafer 904 6DA00 021 POLY R 882-11 30T Top LEFT,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8908,112,3,,,config_coinc_08042013,6,Black PTFE Tape,N/A,N/A,1100,Unknown,gear_x0_08042013,5.1,8/4/2013
,8909,112,3,,,config_coinc_08042013,6,Black PTFE Tape Plus Chip,N/A,N/A,1200,Unknown,gear_x0_08042013,5.1,8/4/2013
,1,187,5,,,config_coinc_19042013,,None,0,0,,,,,
,2,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,3,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,4,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,5,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,6,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,7,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,8,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,9,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,10,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,11,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,12,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,13,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,14,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,15,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,16,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,17,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,18,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,19,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,20,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,21,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,22,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,23,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,24,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,25,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,26,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,27,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,28,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,29,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,30,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,31,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,32,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,33,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,34,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,35,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,36,112,3,,,config_coinc_19042013,,Chip,,,,,,,
,37,112,3,,,config_coinc_19042013,,Chip,,,,,,,
