RunNumber,BeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile
79,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
80,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
81,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
82,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
83,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
84,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
85,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
86,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
87,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
88,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
89,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
90,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
91,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
92,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
93,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
94,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
95,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
96,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
97,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
98,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
99,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
100,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
101,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
102,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
103,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
104,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
105,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
106,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
107,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
108,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
109,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
110,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
111,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
112,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
113,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
114,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
115,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
116,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
117,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
118,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
119,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
120,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
121,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
122,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
123,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
124,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
125,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
126,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
127,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
128,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
129,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
130,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
131,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
132,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
133,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
134,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
135,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
136,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
137,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
138,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
139,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
140,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
141,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
142,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
143,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
144,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
145,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
146,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
147,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
148,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
149,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
150,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
151,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
152,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
153,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
154,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
155,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
156,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
157,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
158,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
159,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
160,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
161,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
162,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
163,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
164,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
165,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
166,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
167,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
168,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
